nombre,tipo,eslora,manga,calado,año,origen,bandera,imo,puertoDestino,urlPuertoDestino,puertoOrigen,urlPuertoOrigen,ETA,ETAPredecido,distancia,tiempo,rumbo,velocidad,caladoActual,estadoNavegacion,ultimaPosicionRecibida,MMSI,signal,GT,DWT,TEU,crudo,grano,fardo,puerto01_nombre,puerto01_llegada,puerto01_salida,puerto01_tiempo,puerto02_nombre,puerto02_llegada,puerto02_salida,puerto02_tiempo,puerto03_nombre,puerto03_llegada,puerto03_salida,puerto03_tiempo,puerto04_nombre,puerto04_llegada,puerto04_salida,puerto04_tiempo,puerto05_nombre,puerto05_llegada,puerto05_salida,puerto05_tiempo
FIONA,Crude Oil Tanker,330,60,,2008,,Panama,9365752,,,,,,-,,,244°,0.6 kn,20.6 m,-,"Apr 22, 2023 06:36 UTC",352002219,3E2212,163330,319994,-,-,-,-,"EOPL Singapore Anch., Singapore","Mar 3, 03:28","Mar 8, 03:31",5d,,,,,,,,,,,,,,,,
NEW TREASURE,Crude Oil Tanker,333,60,,2019,,Hong Kong,9799214,,,,,,,,,242.9°,12.9 kn,11.0 m,-,"Apr 20, 2023 16:03 UTC",477372400,VRSX5,163327,307105,-,-,-,-,"Singapore Anch. 5, Singapore","Apr 4, 08:51","Apr 4, 22:36",13h 44m,"Singapore Anch. 5, Singapore","Apr 4, 02:51","Apr 4, 08:12",5h 21m,"Singapore Anch. 5, Singapore","Apr 3, 20:42","Apr 4, 02:09",5h 27m,"Singapore Anch. 5, Singapore","Apr 3, 14:45","Apr 3, 20:09",5h 23m,"Singapore Anch. 5, Singapore","Apr 3, 10:10","Apr 3, 14:12",4h 1m
CS HUNAN VENTURE,Crude Oil Tanker,333,60,-,2021,-,Hong Kong,9902627,,,,,,,,,307.6°,11.4 kn,19.8 m,-,"Apr 21, 2023 13:12 UTC",477716300,VRUC6,163262,307943,-,-,-,-,"Tebig, Brazil","Apr 9, 02:48","Apr 13, 08:53",4d 6h,"Angra dos Reis Anch., Brazil","Apr 5, 16:46","Apr 9, 01:34",3d 8h,"Singapore Anch. 5, Singapore","Mar 5, 14:39","Mar 6, 14:47",1d,"Mailiao, Taiwan","Feb 24, 03:57","Feb 28, 01:38",3d 21h,,,,
BARAKAH,Crude Oil Tanker,333,60,-,2021,-,Liberia,9902615,,,,,,-,,,157.5°,1.2 kn,16.1 m,Under way,"Apr 23, 2023 00:09 UTC",636020761,5LAP3,163262,307925,-,-,-,-,"New Mangalore Anch., India","Mar 3, 08:28","Mar 5, 22:13",2d 13h,"New Mangalore Anch., India","Mar 2, 00:54","Mar 3, 08:22",1d 7h,"Zirku Oil Term., United Arab Emirates (UAE)","Feb 22, 04:11","Feb 23, 12:45",1d 8h,"Zirku Tanker North Anch., United Arab Emirates (UAE)",-,"Feb 22, 03:18",-,,,,
SINGAPORE VOYAGER,Crude Oil Tanker,336,60,,2019,,Bahamas,9834466,,,,,,-,,,332.7°,1.5 kn,11.2 m,Under way,"Apr 22, 2023 15:01 UTC",311000742,C6DP5,163214,318608,-,-,-,-,"Angra dos Reis Anch., Brazil","Apr 22, 14:24",-,-,"Long Beach Anch., United States (USA)","Mar 28, 13:57","Mar 29, 12:03",22h 5m,"Long Beach Anch., United States (USA)","Mar 17, 12:00","Mar 21, 00:57",3d 12h,,,,,,,,
SAN RAMON VOYAGER,Crude Oil Tanker,336,60,,2019,,Bahamas,9834430,,,,,,-,,,201°,0.0 kn,20.0 m,Moored,"Apr 23, 2023 00:10 UTC",311000745,C6DP8,163214,318608,-,-,-,-,"Singapore, Singapore","Apr 21, 01:09",-,-,"Ju'aymah Oil Field Term., Saudi Arabia","Apr 6, 19:00","Apr 8, 01:49",1d 6h,"Ras Tanura Anch., Saudi Arabia","Apr 6, 07:09","Apr 6, 14:48",7h 38m,"Al Fujayrah Anch., United Arab Emirates (UAE)","Apr 4, 09:51","Apr 4, 16:16",6h 25m,"Fujairah, United Arab Emirates (UAE)","Apr 3, 07:57","Apr 3, 11:16",3h 18m
LONDON VOYAGER,Crude Oil Tanker,336,60,,2019,,Bahamas,9834454,,,,,,-,,,126°,17.0 kn,11.1 m,-,"Apr 16, 2023 11:43 UTC",311000743,C6DP6,163214,318608,-,-,-,-,"Long Beach Anch., United States (USA)","Apr 4, 19:04","Apr 9, 17:38",4d 22h,"Long Beach Anch., United States (USA)","Mar 26, 20:27","Apr 1, 16:36",5d 20h,,,,,,,,,,,,
RICHMOND VOYAGER,Crude Oil Tanker,336,60,,2018,,Bahamas,9827683,,,,,,-,,,236.6°,6.6 kn,11.5 m,Under way,"Apr 23, 2023 00:14 UTC",311000748,C6DQ4,163214,318608,-,-,-,-,"Al Fujayrah Anch., United Arab Emirates (UAE)","Apr 20, 21:04",-,-,"Khor al Fakkan Anch., United Arab Emirates (UAE)","Apr 14, 05:04","Apr 17, 04:07",2d 23h,"Fujairah, United Arab Emirates (UAE)","Mar 11, 20:22","Mar 13, 03:45",1d 7h,"Al Fujayrah Anch., United Arab Emirates (UAE)","Mar 11, 14:52","Mar 11, 19:58",5h 5m,"Khor al Fakkan Anch., United Arab Emirates (UAE)","Mar 11, 09:24","Mar 11, 14:14",4h 49m
EL SEGUNDO VOYAGER,Crude Oil Tanker,336,60,,2018,,Bahamas,9827695,,,,,,,,,314.1°,13.1 kn,11.1 m,-,"Apr 19, 2023 22:51 UTC",311000747,C6DQ2,163214,318608,-,-,-,-,"Singapore Anch. 4, Singapore","Apr 17, 04:56","Apr 19, 00:31",1d 19h,"Onsan, Korea","Apr 7, 03:07","Apr 8, 20:32",1d 17h,"Onsan, Korea","Apr 4, 04:09","Apr 4, 19:36",15h 27m,"Ju'aymah Oil Field Term., Saudi Arabia","Mar 8, 20:15","Mar 10, 22:03",2d 1h,"Ras Tanura Anch., Saudi Arabia","Mar 7, 20:02","Mar 8, 17:09",21h 7m
NEW VISION,Crude Oil Tanker,333,60,,2019,,Hong Kong,9799202,,,,,,,,,89.8°,12.6 kn,21.8 m,-,"Apr 5, 2023 14:53 UTC",477369300,VRSV5,163209,307434,-,-,-,-,"Covenas Oil Term., Colombia","Mar 30, 03:52","Apr 1, 20:10",2d 16h,,,,,,,,,,,,,,,,
NEW ASSURANCE,Crude Oil Tanker,325,60,,2018,,Hong Kong,9799161,,,,,,,,,38.9°,12.6 kn,20.2 m,-,"Apr 12, 2023 22:59 UTC",477191900,VRRY6,163186,307524,-,-,-,-,"Ingleside, United States (USA)","Mar 27, 19:56","Mar 29, 15:11",1d 19h,"Corpus Christi Anch., United States (USA)","Mar 27, 00:46","Mar 27, 18:11",17h 24m,"Rotterdam Anch. 5, Netherlands","Feb 28, 06:24","Mar 7, 00:11",6d 17h,"Rotterdam Maasvlakte, Netherlands","Feb 26, 04:29","Feb 28, 04:02",1d 23h,,,,
MARAN ANTIOPE,Crude Oil Tanker,336,60,-,2021,-,Greece,9901348,,,,,,-,,,178.6°,0.0 kn,16.1 m,At anchor,"Apr 23, 2023 00:13 UTC",241742000,SVDL5,163099,318482,-,-,-,-,"Long Beach, United States (USA)","Apr 17, 15:53","Apr 18, 14:43",22h 49m,"Pazflor FPSO Term., Unknown","Mar 7, 08:15","Mar 8, 20:16",1d 12h,"Jubilee Oil Field Term., Unknown","Mar 1, 06:04","Mar 3, 08:58",2d 2h,,,,,,,,
LANDBRIDGE WISDOM,Crude Oil Tanker,333,60,,2020,,Hong Kong,9828780,,,,,,,,,263.3°,13.8 kn,11.0 m,-,"Apr 16, 2023 19:26 UTC",477455500,VRTB9,163081,307894,-,-,-,-,"Singapore Anch. 4, Singapore","Mar 29, 01:27","Mar 29, 20:48",19h 20m,"Ju'aymah Oil Field Term., Saudi Arabia","Mar 4, 11:17","Mar 6, 12:46",2d 1h,"Ras Tanura Anch., Saudi Arabia","Mar 2, 16:48","Mar 4, 08:35",1d 15h,,,,,,,,
ARMADA STERLING V,Offshore Support Vessel,333,60,,2001,,Singapore,9196606,,,,,,-,,,315.9°,4.2 kn,10.2 m,-,"Nov 23, 2022 06:31 UTC",563089600,9V6449,163070,298530,-,,-,-,,,,,,,,,,,,,,,,,,,,
FIDA,Crude Oil Tanker,333,60,,2011,,Marshall Islands,9501150,,,,,,,,,143.6°,11.9 kn,21.5 m,-,"Apr 13, 2023 13:57 UTC",538004633,V7YD5,163066,316373,-,,-,-,"Las Palmas (Gr.Canaria) Anch., Spain","Apr 9, 01:12","Apr 9, 07:59",6h 47m,"Mongstad, Norway","Mar 28, 00:24","Apr 1, 07:07",4d 6h,"Goteborg, Sweden","Mar 24, 06:42","Mar 25, 14:32",1d 7h,"Goteborg Anch., Sweden","Mar 23, 19:56","Mar 24, 04:49",8h 53m,"Ingleside, United States (USA)","Feb 25, 21:33","Feb 27, 21:24",1d 23h
SIFA,Crude Oil Tanker,333,60,,2011,,Marshall Islands,9441245,,,,,,,,,171.5°,11.3 kn,11.0 m,-,"Apr 20, 2023 01:45 UTC",538004634,V7YD6,163066,316373,-,,-,-,"Caofeidian, China","Apr 14, 22:54","Apr 18, 01:53",3d 2h,"Caofeidian Anch., China","Apr 14, 13:48","Apr 14, 21:43",7h 54m,"Basrah Oil Terminal Anch., Iraq","Mar 22, 17:07","Mar 23, 05:44",12h 37m,"Basrah Oil Terminal, Iraq","Mar 20, 05:23","Mar 22, 16:50",2d 11h,"Basrah Oil Terminal Anch., Iraq","Mar 19, 15:12","Mar 20, 04:56",13h 43m
LANDBRIDGE GLORY,Crude Oil Tanker,333,60,,2019,,Hong Kong,9828778,,,,,,,,,318.5°,14.7 kn,11.0 m,Under way,"Apr 23, 2023 00:08 UTC",477286600,VRSH9,163064,307852,-,-,-,-,"Xuxu, China","Apr 11, 01:02","Apr 14, 01:38",3d,"Lianyungang Anch., China","Apr 10, 00:06","Apr 10, 21:05",20h 58m,"Ju'aymah Oil Field Term., Saudi Arabia","Mar 15, 21:16","Mar 18, 00:00",2d 2h,"Ras Tanura Anch., Saudi Arabia","Mar 14, 19:30","Mar 15, 17:45",22h 14m,"Singapore Anch. 5, Singapore","Feb 24, 23:31","Feb 26, 14:47",1d 15h
TAQAH,Crude Oil Tanker,333,60,,2012,,Marshall Islands,9501174,,,,,,,,,313.5°,15.6 kn,11.0 m,-,"Apr 21, 2023 03:56 UTC",538004833,V7ZI4,162964,316373,-,,-,-,"Singapore Anch. 4, Singapore","Apr 18, 17:40","Apr 20, 07:50",1d 14h,"Ningbo, China","Apr 9, 05:57","Apr 11, 06:07",2d,"Basrah Oil Terminal Anch., Iraq","Mar 14, 07:20","Mar 15, 08:19",1d,"Basrah Oil Terminal, Iraq","Mar 11, 23:40","Mar 14, 06:57",2d 7h,"Basrah Oil Terminal Anch., Iraq","Mar 11, 17:54","Mar 11, 23:29",5h 34m
DABA,Crude Oil Tanker,333,60,,2012,,Marshall Islands,9501162,,,,,,-,,,313°,14.5 kn,11.0 m,-,"Apr 19, 2023 08:35 UTC",538004575,V7XU7,162964,316373,-,,-,-,"Singapore Anch. 5, Singapore","Apr 16, 22:43","Apr 18, 09:01",1d 10h,"Zhanjiang, China","Apr 8, 17:11","Apr 12, 01:59",3d 8h,"Zhanjiang Anch., China","Apr 8, 03:48","Apr 8, 16:12",12h 24m,"Ras Tanura, Saudi Arabia","Mar 20, 17:32","Mar 22, 08:40",1d 15h,"Ras Tanura Anch., Saudi Arabia","Mar 19, 08:52","Mar 20, 17:07",1d 8h
NEW AMBITION,Crude Oil Tanker,333,60,,2021,,Hong Kong,9900667,,,,,,-,,,77.9°,10.8 kn,19.9 m,-,"Apr 13, 2023 11:12 UTC",477723300,VRUG2,162902,307620,-,-,-,-,"Tebig, Brazil","Mar 28, 11:51","Mar 31, 10:40",2d 22h,"Angra dos Reis Anch., Brazil","Mar 26, 16:37","Mar 28, 10:47",1d 18h,"Singapore Anch. 4, Singapore","Feb 21, 09:47","Feb 22, 17:16",1d 7h,,,,,,,,
NEW ERA,Crude Oil Tanker,333,60,,2021,,Hong Kong,9900655,,,,,,,,,58.3°,8.9 kn,20.3 m,-,"Apr 19, 2023 04:53 UTC",477708900,VRUB9,162902,307645,-,-,-,-,"Ras Tanura, Saudi Arabia","Apr 4, 17:46","Apr 6, 13:56",1d 20h,"Ras Tanura Anch., Saudi Arabia","Apr 3, 11:03","Apr 4, 17:17",1d 6h,"Singapore Anch. 5, Singapore","Mar 18, 22:41","Mar 20, 04:40",1d 5h,"Tianjin Xingang, China","Mar 8, 06:57","Mar 10, 00:38",1d 17h,"Tianjin Anch., China","Mar 5, 22:21","Mar 8, 04:43",2d 6h
NEW SPLENDOR,Crude Oil Tanker,333,60,-,2023,-,Hong Kong,9911991,,,,,,,,,109.7°,12.7 kn,19.9 m,Under way,"Apr 22, 2023 16:37 UTC",477859900,VRUZ8,162869,307000,-,-,-,-,"Ingleside, United States (USA)","Apr 10, 15:35","Apr 12, 13:13",1d 21h,"Corpus Christi Anch., United States (USA)","Apr 8, 11:57","Apr 10, 13:27",2d 1h,"Wilhelmshaven, Germany","Mar 5, 23:15","Mar 11, 09:00",5d 9h,"Gibraltar West Anch., Gibraltar","Feb 27, 07:06","Feb 27, 17:06",9h 59m,"Fos sur mer, France",-,"Feb 24, 10:31",-
GHINAH,Crude Oil Tanker,333,60,,2010,,Saudi Arabia,9484728,,,,,,,,,116°,13.1 kn,21.0 m,-,"Apr 18, 2023 13:58 UTC",403638000,HZHL,162863,319141,-,,-,-,"Khor al Fakkan Anch., United Arab Emirates (UAE)","Apr 12, 12:06","Apr 13, 07:33",19h 26m,"Ju'aymah Oil Field Term., Saudi Arabia","Apr 9, 05:08","Apr 10, 20:51",1d 15h,"Ras Tanura Anch., Saudi Arabia","Apr 8, 08:01","Apr 9, 01:48",17h 47m,"Gwangyang, Korea","Mar 17, 01:49","Mar 18, 11:08",1d 9h,"Gwangyang, Korea","Mar 15, 04:31","Mar 17, 01:07",1d 20h
NIBAN,Crude Oil Tanker,333,60,,2010,,Saudi Arabia,9484716,,,,,,-,,,221.4°,4.4 kn,10.9 m,Under way,"Apr 23, 2023 00:16 UTC",403588000,HZHG,162863,319285,-,,-,-,"Pasir Gudang, Johor Anch., Malaysia","Mar 22, 05:55","Apr 20, 13:14",29d 7h,"Ju'aymah Oil Field Term., Saudi Arabia","Mar 6, 21:31","Mar 8, 18:22",1d 20h,"Ras Tanura Anch., Saudi Arabia","Mar 6, 12:52","Mar 6, 19:01",6h 8m,"Khor al Fakkan Anch., United Arab Emirates (UAE)","Mar 3, 02:29","Mar 4, 23:50",1d 21h,"Ain Sukhna Oil Field Term., Egypt",-,"Feb 21, 23:15",-
NISALAH,Crude Oil Tanker,333,60,,2010,,Saudi Arabia,9484730,,,,,,-,,,309.1°,12.9 kn,10.8 m,Under way,"Apr 22, 2023 20:50 UTC",403536000,HZFF,162863,319287,-,,-,-,"Galle Anch., Sri Lanka","Apr 16, 23:41","Apr 17, 03:40",3h 58m,"Singapore, Singapore","Apr 9, 00:57","Apr 12, 01:12",3d,"Singapore, Singapore","Mar 29, 01:13","Apr 6, 01:48",8d,,,,,,,,
FARHAH,Crude Oil Tanker,333,60,,2010,,Saudi Arabia,9484742,,,,,,-,,,131°,0.0 kn,16.5 m,At anchor,"Apr 23, 2023 00:08 UTC",403537000,HZFM,162863,319302,-,,-,-,"Sidi Kerir Oil Term., Egypt","Mar 23, 04:48","Mar 24, 08:16",1d 3h,"Sidi Kerir Terminal Anch., Egypt","Mar 22, 08:12","Mar 23, 04:16",20h 4m,"As Suways (Suez) Anch., Egypt","Mar 20, 15:06","Mar 21, 06:21",15h 14m,"Ain Sukhna Oil Field Term., Egypt","Mar 19, 23:02","Mar 20, 14:06",15h 3m,"Ain Sukhna Anch., Egypt","Mar 19, 04:15","Mar 19, 22:12",17h 56m
KYO-EI,Crude Oil Tanker,335,60,,2014,,Liberia,9663843,,,,,,-,,,31.2°,0.0 kn,12.3 m,Moored,"Apr 22, 2023 23:59 UTC",636019067,D5SU2,162858,313990,-,-,-,-,"Ju'aymah Oil Field Term., Saudi Arabia","Apr 22, 01:57",-,-,"Ras Tanura Anch., Saudi Arabia","Apr 21, 12:17","Apr 21, 22:42",10h 25m,"Mina' al Ahmadi Oil Field Term., Kuwait","Apr 19, 18:25","Apr 20, 18:22",23h 57m,"Mina' al Ahmadi Oil Field Term., Kuwait","Apr 19, 16:43","Apr 19, 18:12",1h 29m,"Al Fujayrah Anch., United Arab Emirates (UAE)","Apr 17, 05:47","Apr 17, 18:34",12h 47m
FPSO CIDADE DE ILHABELA,Offshore Support Vessel,330,58,,1996,,Bahamas,9083108,,,,,,-,,,239.2°,0.0 kn,5.8 m,-,"Apr 15, 2023 05:09 UTC",311048800,C6YX9,162822,270313,-,,-,-,,,,,,,,,,,,,,,,,,,,
LANDBRIDGE PROSPERITY,Crude Oil Tanker,333,60,,2016,,Hong Kong,9727223,,,,,,,,,211.6°,9.8 kn,11.0 m,-,"Apr 19, 2023 09:21 UTC",477430900,VRPF3,162800,308285,-,-,-,-,"Anegasaki Keiyo Sea Berth, Japan","Apr 17, 02:50","Apr 19, 01:18",1d 22h,"Das Island Term., United Arab Emirates (UAE)","Mar 24, 23:05","Mar 25, 23:13",1d,"Das Island Anch., United Arab Emirates (UAE)","Mar 24, 14:21","Mar 24, 21:07",6h 45m,"Singapore Anch. 5, Singapore","Mar 6, 08:08","Mar 8, 10:47",2d 2h,"Zhoushan, China","Feb 24, 01:43","Feb 27, 03:39",3d 1h
TAKASAGO,Crude Oil Tanker,335,60,,2017,,Panama,9770696,,,,,,,,,110.2°,11.4 kn,20.4 m,-,"Apr 19, 2023 18:52 UTC",354919000,3EHK2,162797,313989,-,-,-,-,"Fujairah, United Arab Emirates (UAE)","Apr 18, 09:22","Apr 19, 13:11",1d 3h,"Al Fujayrah Anch., United Arab Emirates (UAE)","Apr 9, 11:34","Apr 18, 08:52",8d 21h,"Ras Tanura, Saudi Arabia","Apr 7, 02:13","Apr 7, 20:04",17h 50m,"Ras Tanura Anch., Saudi Arabia","Apr 6, 06:34","Apr 7, 02:01",19h 26m,"Ras al Khafji Anch., Saudi Arabia","Apr 3, 20:31","Apr 4, 21:18",1d
XIN WEI YANG,Crude Oil Tanker,333,60,,2017,,Singapore,9761475,,,,,,,,,144.6°,13.7 kn,20.0 m,-,"Apr 13, 2023 10:10 UTC",563022200,9V3643,162761,308313,-,-,-,-,"Singapore Anch. 5, Singapore","Feb 27, 01:45","Feb 28, 02:04",1d,,,,,,,,,,,,,,,,
XIN MAO YANG,Crude Oil Tanker,333,60,,2018,,Singapore,9771755,,,,,,-,,,341.7°,15.4 kn,10.8 m,-,"Apr 19, 2023 13:43 UTC",563061700,9V3645,162761,307573,-,-,-,-,"Singapore Anch. 5, Singapore","Mar 30, 06:20","Mar 31, 02:17",19h 56m,"Dongjiakou, China","Mar 21, 00:41","Mar 23, 02:08",2d 1h,"Dalian, China","Mar 15, 04:05","Mar 17, 05:54",2d 1h,"Dalian Anch., China","Mar 10, 23:50","Mar 15, 03:02",4d 3h,,,,
TENMA,Crude Oil Tanker,335,60,,2018,,Panama,9787754,,,,,,-,,,310.6°,12.8 kn,10.8 m,Under way,"Apr 23, 2023 00:10 UTC",356999000,3FYC,162724,313999,-,-,-,-,"Singapore Anch. 5, Singapore","Apr 10, 09:06","Apr 11, 04:02",18h 56m,"Pengerang, Malaysia","Mar 16, 12:14","Mar 19, 19:09",3d 6h,"Pasir Gudang, Johor Anch., Malaysia","Mar 15, 04:00","Mar 16, 12:06",1d 8h,"Ar Rayis, Saudi Arabia","Feb 27, 11:40","Feb 28, 12:46",1d 1h,,,,
MARAN TAURUS,Crude Oil Tanker,333,60,,2011,,Greece,9519494,,,,,,-,,,276.5°,0.0 kn,20.5 m,-,"Mar 30, 2023 00:34 UTC",241393000,SVCG3,162722,321052,-,,-,-,"Porto Du Acu, Brazil","Mar 26, 13:05",-,-,"Porto Du Acu Anch., Brazil","Mar 25, 11:41","Mar 26, 11:43",1d,"Porto Du Acu Anch., Brazil","Mar 24, 21:22","Mar 25, 10:36",13h 13m,"Singapore Anch. 4, Singapore",-,"Feb 22, 23:33",-,,,,
MAYASAN,Crude Oil Tanker,340,60,,2018,,Japan,9839856,,,,,,-,,,238°,0.0 kn,20.1 m,At anchor,"Apr 23, 2023 00:00 UTC",431618000,7KJS,162712,312006,-,-,-,-,"Al Fujayrah Anch., United Arab Emirates (UAE)","Apr 22, 06:58",-,-,"Fujairah, United Arab Emirates (UAE)","Apr 21, 12:14","Apr 22, 06:03",17h 49m,"Ras Tanura, Saudi Arabia","Apr 18, 23:35","Apr 19, 22:59",23h 23m,"Ras Tanura Anch., Saudi Arabia","Apr 15, 10:30","Apr 18, 20:30",3d 9h,"Mesaieed Anch., Qatar","Apr 13, 12:10","Apr 14, 11:10",23h
FRONT ENDURANCE,Crude Oil Tanker,333,60,,2009,,Marshall Islands,9353797,,,,,,-,,,32°,10.7 kn,21.8 m,-,"Apr 9, 2023 04:13 UTC",538003951,V7UH6,162706,321300,-,,-,-,"Ju'aymah Oil Field Term., Saudi Arabia","Mar 25, 07:06","Mar 26, 12:33",1d 5h,"Ras Tanura Anch., Saudi Arabia","Mar 20, 04:07","Mar 25, 03:38",4d 23h,"Basrah Oil Terminal, Iraq","Mar 17, 01:09","Mar 19, 07:24",2d 6h,"Basrah Oil Terminal Anch., Iraq","Mar 16, 08:25","Mar 17, 00:33",16h 8m,"Singapore Anch. 4, Singapore","Feb 28, 23:11","Mar 3, 07:38",2d 8h
LANDBRIDGE FORTUNE,Crude Oil Tanker,333,60,,2016,,Hong Kong,9727211,,,,,,,,,106.1°,13.2 kn,19.6 m,-,"Apr 18, 2023 07:56 UTC",477913200,VRPF2,162691,308297,-,-,-,-,"Ingleside, United States (USA)","Apr 9, 15:51","Apr 11, 14:03",1d 22h,"Corpus Christi Anch., United States (USA)","Apr 8, 04:18","Apr 9, 14:06",1d 9h,"Gibraltar West Anch., Gibraltar","Mar 19, 04:57","Mar 20, 01:45",20h 48m,"As Suways (Suez) Anch., Egypt","Mar 11, 19:30","Mar 12, 04:17",8h 46m,"Rabigh, Saudi Arabia","Mar 7, 04:40","Mar 10, 04:32",2d 23h
C. MAJESTY,Crude Oil Tanker,336,60,,2008,,Panama,9402990,,,,,,,,,205.5°,12.5 kn,11.0 m,-,"Apr 17, 2023 10:00 UTC",370783000,3FWV2,162670,313406,-,,-,-,"Caofeidian, China","Apr 12, 08:16","Apr 14, 06:41",1d 22h,"Caofeidian Anch., China","Apr 9, 10:15","Apr 12, 07:41",2d 21h,"Zirku Oil Term., United Arab Emirates (UAE)","Mar 12, 09:19","Mar 13, 15:10",1d 5h,"Zirku Tanker North Anch., United Arab Emirates (UAE)","Mar 11, 18:58","Mar 12, 08:05",13h 7m,"Al Fujayrah Anch., United Arab Emirates (UAE)","Mar 9, 05:26","Mar 10, 12:25",1d 6h
UMM AL AISH,Crude Oil Tanker,332,60,,2011,,Kuwait,9534781,,,,,,,,,141.5°,11.5 kn,20.7 m,Under way,"Apr 23, 2023 00:09 UTC",447025000,9KEL,162625,319634,-,,-,-,"Mina' al Ahmadi Oil Field Term., Kuwait","Apr 8, 21:38","Apr 10, 11:59",1d 14h,"Mina' al Ahmadi Oil Field Term., Kuwait","Apr 7, 06:40","Apr 8, 20:33",1d 13h,"Shuaiba Anch., Kuwait","Apr 6, 04:53","Apr 7, 05:51",1d,"Singapore Anch. 5, Singapore","Mar 24, 11:05","Mar 25, 09:08",22h 2m,"Qingdao Anch., China","Mar 16, 07:42","Mar 16, 12:32",4h 50m
AL SALMI,Crude Oil Tanker,332,60,,2011,,Kuwait,9534793,,,,,,-,,,54.9°,10.0 kn,19.8 m,-,"Apr 21, 2023 06:29 UTC",447097000,9KCQ,162625,319660,-,,-,-,"Shuaiba Anch., Kuwait","Apr 7, 14:45","Apr 7, 21:04",6h 19m,"Mina' al Ahmadi Oil Field Term., Kuwait","Apr 6, 08:12","Apr 7, 11:40",1d 3h,"Mina' al Ahmadi LNG Terminal Term., Kuwait","Apr 4, 01:17","Apr 6, 07:02",2d 5h,"Mina' 'Abd Allah Anch., Kuwait","Apr 2, 09:29","Apr 3, 23:48",1d 14h,"Al Fujayrah Anch., United Arab Emirates (UAE)","Mar 29, 09:19","Mar 31, 08:44",1d 23h
AL RIQQA,Crude Oil Tanker,332,60,,2011,,Kuwait,9534808,,,,,,,,,121.8°,13.3 kn,20.1 m,-,"Apr 22, 2023 05:26 UTC",447143000,9KBQ,162625,319705,-,,-,-,"Mina' al Ahmadi Oil Field Term., Kuwait","Apr 13, 19:04","Apr 15, 03:24",1d 8h,"Mina' al Ahmadi Oil Field Term., Kuwait","Apr 11, 17:41","Apr 13, 17:36",1d 23h,"Mina' al Ahmadi Oil Field Term., Kuwait","Apr 11, 13:22","Apr 11, 17:26",4h 4m,"Shuaiba Anch., Kuwait","Apr 11, 01:30","Apr 11, 12:42",11h 12m,"Al Fujayrah Anch., United Arab Emirates (UAE)","Apr 5, 05:14","Apr 9, 08:18",4d 3h
DAR SALWA,Crude Oil Tanker,333,60,,2010,,Kuwait,9534779,,,,,,-,,,200°,0.0 kn,11.3 m,Moored,"Apr 23, 2023 00:00 UTC",447131000,9KBU,162625,319761,-,,-,-,"Qingdao, China","Apr 21, 02:58",-,-,"Mina' al Ahmadi Oil Field Term., Kuwait","Mar 27, 10:41","Mar 29, 01:09",1d 14h,"Singapore Anch. 4, Singapore","Mar 16, 02:54","Mar 17, 02:03",23h 9m,"Ningbo, China","Mar 7, 03:50","Mar 10, 03:42",2d 23h,"Ningbo Anch., China","Mar 6, 15:19","Mar 7, 00:28",9h 9m
YOHO,Crude Oil Tanker,340,60,-,2021,,Liberia,9878644,,,,,,-,,,33.8°,12.1 kn,19.1 m,-,"Apr 14, 2023 07:00 UTC",636020393,D5YZ9,162614,312006,-,-,-,-,"Ju'aymah Oil Field Term., Saudi Arabia","Apr 1, 01:58","Apr 2, 09:36",1d 7h,"Ras Tanura Anch., Saudi Arabia","Mar 30, 11:17","Mar 31, 22:12",1d 10h,"Das Island LNG LNG Term., United Arab Emirates (UAE)","Mar 28, 18:49","Mar 29, 10:18",15h 28m,"Das Island Anch., United Arab Emirates (UAE)","Mar 25, 19:21","Mar 28, 16:31",2d 21h,"Fujairah, United Arab Emirates (UAE)","Mar 24, 05:33","Mar 24, 18:12",12h 38m
NEW MELODY,Crude Oil Tanker,333,60,,2019,,Hong Kong,9799185,,,,,,-,,,44.3°,0.0 kn,11.0 m,Moored,"Apr 23, 2023 00:01 UTC",477269500,VRSK9,162606,307431,-,-,-,-,"Ju'aymah Oil Field Term., Saudi Arabia","Apr 21, 08:56",-,-,"Al Fujayrah Anch., United Arab Emirates (UAE)","Apr 18, 12:34","Apr 19, 16:32",1d 3h,"Sika Term., India","Apr 14, 06:57","Apr 16, 09:33",2d 2h,"Sika Anch., India","Apr 8, 12:35","Apr 14, 04:08",5d 15h,,,,
DHT OPAL,Crude Oil Tanker,333,60,,2012,,Hong Kong,9455662,,,,,,-,,,192.5°,0.0 kn,10.8 m,At anchor,"Apr 23, 2023 00:18 UTC",477392800,VRSY7,162557,320105,-,,-,-,"Long Beach Anch., United States (USA)","Apr 22, 12:17",-,-,"Basrah Oil Terminal Anch., Iraq","Mar 3, 09:38","Mar 4, 05:11",19h 32m,"Basrah Oil Terminal, Iraq","Mar 1, 20:29","Mar 3, 09:09",1d 12h,"Basrah Oil Terminal Anch., Iraq","Mar 1, 15:49","Mar 1, 20:29",4h 39m,SARTA,"Feb 24, 09:49","Feb 25, 09:34",23h 44m
